comment_id,status_id,parent_id,comment_message,comment_published,comment_likes
10156362236968701_10156362241388701,91290503700_10156362236968701,,Honestly there wasn't enough scenes in that movie with him,2018-03-14 16:59:57,10
10156362236968701_10156363849738701,91290503700_10156362236968701,10156362236968701_10156362241388701,>implying there is anything wrong with that movie... haha,2018-03-15 07:26:55,0
10156362236968701_10156362241648701,91290503700_10156362236968701,,Happy birthday Sir My Cocaine!,2018-03-14 17:00:07,20
10156362236968701_10156362242428701,91290503700_10156362236968701,,Dominic Dimech,2018-03-14 17:00:23,0
10156362236968701_10156362530768701,91290503700_10156362236968701,10156362236968701_10156362242428701,Hb bro,2018-03-14 19:12:51,0
10156362236968701_10156362246733701,91290503700_10156362236968701,,Batman begins - Why do we fall master Bruce....,2018-03-14 17:02:00,7
10156362236968701_10156362249113701,91290503700_10156362236968701,10156362236968701_10156362246733701,Because we're getting on a bit?,2018-03-14 17:03:24,2
10156362236968701_10156362251383701,91290503700_10156362236968701,10156362236968701_10156362246733701,Nope- in Batman begins number one righ after he lost his parents,2018-03-14 17:05:08,0
10156362236968701_10156362256663701,91290503700_10156362236968701,10156362236968701_10156362246733701,So we can learn to pick ourselves up again. 👍🏼,2018-03-14 17:08:20,5
10156362236968701_10156363375758701,91290503700_10156362236968701,10156362236968701_10156362246733701,"""Because somebody forgot to clean the batfloor...Alfred!!!""",2018-03-15 02:48:23,1
10156362236968701_10156363411323701,91290503700_10156362236968701,10156362236968701_10156362246733701,so he can get annoyed and threaten people on set?,2018-03-15 03:14:50,0
10156362236968701_10156363586148701,91290503700_10156362236968701,10156362236968701_10156362246733701,There should be an Alfred movie 😳where he's some kind of 1930-50's 007 type a dude,2018-03-15 05:06:57,0
10156362236968701_10156362249913701,91290503700_10156362236968701,,Ben Bulben j'ai un jour d'écart avec lui... et 60 ans,2018-03-14 17:04:08,0
10156362236968701_10156362250368701,91290503700_10156362236968701,,My Cocaine,2018-03-14 17:04:27,0
10156362236968701_10156362251103701,91290503700_10156362236968701,,Alfred!!!,2018-03-14 17:04:59,0
10156362236968701_10156362251188701,91290503700_10156362236968701,,Ruby Nahuysen Olivia Nahuysen,2018-03-14 17:05:01,2
10156362236968701_10156362252403701,91290503700_10156362236968701,,Konstantinos Betsas ο παππούς σου!,2018-03-14 17:05:55,0
10156362236968701_10156362254558701,91290503700_10156362236968701,,"Batman wouldn't have done it without you sir!!
Happy birthday",2018-03-14 17:07:00,6
10156362236968701_10156362256163701,91290503700_10156362236968701,,عيد ميلاد سعيد,2018-03-14 17:08:08,0
10156362236968701_10156362263333701,91290503700_10156362236968701,,"Happy birthday, Peachy...",2018-03-14 17:11:08,1
10156362236968701_10156362264938701,91290503700_10156362236968701,,Leo's hairstyle in Inception is what is dating it the most.,2018-03-14 17:11:38,1
10156362236968701_10156362266358701,91290503700_10156362236968701,,Daniel Zem Bernardes oq faria?,2018-03-14 17:12:32,1
10156362236968701_10156363026583701,91290503700_10156362236968701,10156362236968701_10156362266358701,KKKKKKKKKKK,2018-03-14 23:26:22,0
10156362236968701_10156363026713701,91290503700_10156362236968701,10156362236968701_10156362266358701,Classiv,2018-03-14 23:26:27,0
10156362236968701_10156363026818701,91290503700_10156362236968701,10156362236968701_10156362266358701,Classic*,2018-03-14 23:26:34,0
10156362236968701_10156362275743701,91290503700_10156362236968701,,Great actor!,2018-03-14 17:17:19,0
10156362236968701_10156362281578701,91290503700_10156362236968701,,Not a lot of people know that...,2018-03-14 17:20:40,0
10156362236968701_10156362286068701,91290503700_10156362236968701,,'You're only s'posed to blow the bloody doors off!' lol Happy Bday Charlie ;) x,2018-03-14 17:23:21,1
10156362236968701_10156362312703701,91290503700_10156362236968701,,Happy birthday!!! Prof,2018-03-14 17:38:49,0
10156362236968701_10156362326308701,91290503700_10156362236968701,,Sherlock Holmes :D,2018-03-14 17:44:06,1
10156362236968701_10156362357843701,91290503700_10156362236968701,,Pierre Grolez [[STICKER]],2018-03-14 17:58:00,0
10156362236968701_10156363276153701,91290503700_10156362236968701,10156362236968701_10156362357843701,Le patron est à droite sur cette photo.,2018-03-15 01:47:57,0
10156362236968701_10156364528578701,91290503700_10156362236968701,10156362236968701_10156362357843701,[[STICKER]],2018-03-15 11:15:43,0
10156362236968701_10156362361678701,91290503700_10156362236968701,,Greatest motion picture of the 21st-century thus far.,2018-03-14 17:59:35,2
10156362236968701_10156362369168701,91290503700_10156362236968701,,Brooks Akin,2018-03-14 18:02:48,0
10156362236968701_10156362384528701,91290503700_10156362236968701,10156362236968701_10156362369168701,Im Micheal Caine,2018-03-14 18:10:43,0
10156362236968701_10156362373898701,91290503700_10156362236968701,,MY COCAINE!!!,2018-03-14 18:05:46,0
10156362236968701_10156362412283701,91290503700_10156362236968701,,Hopefully he gets a ruby the size of a,2018-03-14 18:21:05,0
10156362236968701_10156363411923701,91290503700_10156362236968701,10156362236968701_10156362412283701,tangerine?,2018-03-15 03:15:26,0
10156362236968701_10156362429018701,91290503700_10156362236968701,,This movie was horribly directed.  I still cannot watch the darn thing without falling asleep.,2018-03-14 18:27:44,0
10156362236968701_10156362436538701,91290503700_10156362236968701,,More bright people are dying.  PUT HIM IN PROTECTIVE CUSTODY!,2018-03-14 18:31:25,1
10156362236968701_10156362442903701,91290503700_10156362236968701,,[[STICKER]],2018-03-14 18:35:10,0
10156362236968701_10156362457333701,91290503700_10156362236968701,,Feliz cumple alfred!!!,2018-03-14 18:41:57,0
10156362236968701_10156362504378701,91290503700_10156362236968701,10156362236968701_10156362457333701,jaja tu si ahh pero bien merecido Alfred lo maximo,2018-03-14 19:05:52,0
10156362236968701_10156362464278701,91290503700_10156362236968701,,"didnt even know it was his birthday today, just happened to watch The Man Who Would Be King, this morning, great movie, and as ever Michael is amazing in it",2018-03-14 18:46:12,2
10156362236968701_10156362480823701,91290503700_10156362236968701,,"great movie! great actor!
 Sir Michael Caine, Happy BD!",2018-03-14 18:56:25,2
10156362236968701_10156362545128701,91290503700_10156362236968701,,Scrooge from A Muppet Christmas Carol. Best role,2018-03-14 19:20:27,1
10156362236968701_10156362609718701,91290503700_10156362236968701,,Have a good birthday ur still young at heart.,2018-03-14 19:53:42,1
10156362236968701_10156362685583701,91290503700_10156362236968701,,Prolly my fave all time movie,2018-03-14 20:23:25,0
10156362236968701_10156362738983701,91290503700_10156362236968701,,Jared Appel Kyle BigMix Appel,2018-03-14 20:51:13,1
10156362236968701_10156362759768701,91290503700_10156362236968701,10156362236968701_10156362738983701,Yes,2018-03-14 21:03:06,0
10156362236968701_10156362828538701,91290503700_10156362236968701,10156362236968701_10156362738983701,He hambuh dum.,2018-03-14 21:38:51,0
10156362236968701_10156362796848701,91290503700_10156362236968701,,[[STICKER]],2018-03-14 21:21:20,0
10156362236968701_10156362844838701,91290503700_10156362236968701,,"https://youtu.be/HFIQIpC5_wY
How M. Caine speaks [[VIDEO_SHARE_YOUTUBE]]",2018-03-14 21:49:42,0
10156362236968701_10156363059708701,91290503700_10156362236968701,,Matthew Altman,2018-03-14 23:54:16,1
10156362236968701_10156364309363701,91290503700_10156362236968701,10156362236968701_10156363059708701,"So glad Maurice Mickelwhite rallied and defeated rickets to go on to become ""the Elephant to Hollywood!"" What a ""very British star"" indeed!",2018-03-15 10:00:22,1
10156362236968701_10156363140428701,91290503700_10156362236968701,,Chelsey McCauley i have the same birthday as Batman's butler 😲,2018-03-15 00:33:58,0
10156362236968701_10156363146388701,91290503700_10156362236968701,,"Endure Master Wayne, take it. They will hate you for it. But that's the point of Batman!!",2018-03-15 00:36:11,3
10156362236968701_10156363300493701,91290503700_10156362236968701,,Zara Urry Richard 'Milton' Martin,2018-03-15 01:59:49,0
10156362236968701_10156363337163701,91290503700_10156362236968701,,Daniel Alejandro Lopez,2018-03-15 02:25:16,0
10156362236968701_10156363409023701,91290503700_10156362236968701,,Indeed most Happy Day Sir Michael Caine.,2018-03-15 03:12:55,0
10156362236968701_10156363577173701,91290503700_10156362236968701,,Happy Birthday Sir Michael Caine!,2018-03-15 05:01:07,2
10156362236968701_10156363590303701,91290503700_10156362236968701,,alfred 👍,2018-03-15 05:08:42,0
10156362236968701_10156363644973701,91290503700_10156362236968701,,Brilliant actor 👌,2018-03-15 05:40:04,0
10156362236968701_10156363739188701,91290503700_10156362236968701,,Happy birthday Michael,2018-03-15 06:26:28,1
10156362236968701_10156363744088701,91290503700_10156362236968701,,He'll be dead soon,2018-03-15 06:28:40,0
10156362236968701_10156363847918701,91290503700_10156362236968701,,Claudia Eridano ti voglio carica che oggi è anche il complex di Sir Michael Caine,2018-03-15 07:25:53,0
10156362236968701_10156363859998701,91290503700_10156362236968701,10156362236968701_10156363847918701,Non ti deluderò 😏,2018-03-15 07:33:33,0
10156362236968701_10156364059518701,91290503700_10156362236968701,,Luis San Martín su aire a don get o no,2018-03-15 08:41:30,0
10156362236968701_10156364200193701,91290503700_10156362236968701,10156362236968701_10156364059518701,lo que me perturba es saber quien es el otro,2018-03-15 09:22:49,0
10156362236968701_10156364343893701,91290503700_10156362236968701,,Why do we fall?,2018-03-15 10:13:39,0
10156362236968701_10156364787798701,91290503700_10156362236968701,,Stephanie Jay,2018-03-15 13:07:48,0
10156362236968701_10156364845278701,91290503700_10156362236968701,,Austin Powers fashe,2018-03-15 13:29:47,0
10156362236968701_10156364951858701,91290503700_10156362236968701,,Happy Birthday Sir Michael Caine!,2018-03-15 14:05:33,0
10156362236968701_10156364984383701,91290503700_10156362236968701,,كل عام وانت بخير يا كين ❤❤,2018-03-15 14:17:06,0
10156362236968701_10156365154693701,91290503700_10156362236968701,,Let us not forget he was Austin Power's dad. Happy Birthday Sir Michael  Caine.,2018-03-15 15:20:30,2
10156362236968701_10156365176513701,91290503700_10156362236968701,,Read dat in (h)is cockney accent,2018-03-15 15:27:43,0
10156362236968701_10156365621848701,91290503700_10156362236968701,,My Cocaine,2018-03-15 17:38:10,0
10156362236968701_10156366381733701,91290503700_10156362236968701,,"Wow, we share a birthday! Never knew that. Happy birthday, Mr Caine! 🎉🎁🎈🥂",2018-03-16 00:36:22,0
